"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1978-01-01,4754
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1979-01-01,4474
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1980-01-01,2021
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1981-01-01,4303
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1982-01-01,4550
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1983-01-01,4450
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1984-01-01,3750
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1985-01-01,5700
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1986-01-01,7000
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1987-01-01,7400
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1988-01-01,5994
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1989-01-01,4777
